AREA,CONCEPT,CENSUS,VERIFIED,EAJ-PNV,EB-AZ,EH-BILDU,ELKARREKIN POD.,ENK-EXI,PH,PP,PSE-EE,STOP,VOX,BLANK,NULL,ABSENT
OTXANDIO,VOTES,951,100,257,0,394,10,0,0,1,7,0,0,23,17,242
OTXANDIO,PERCENTAGE,951,100,37,,,,,,,,,,,,
PLENTZIA,VOTES,3400,100,930,0,838,135,0,0,110,152,24,33,44,26,1108
PLENTZIA,PERCENTAGE,3400,100,41,,,,,,,,,,,,
PORTUGALETE,VOTES,36362,100,5929,64,3431,1562,68,0,1479,7523,56,448,354,308,15140
PORTUGALETE,PERCENTAGE,36362,100,28,,,,,,,,,,,,
SANTURTZI,VOTES,36969,100,7040,71,5321,1722,54,0,1272,4696,55,487,372,329,15550
SANTURTZI,PERCENTAGE,36969,100,33,,,,,,,,,,,,
SESTAO,VOTES,21048,100,3837,44,2634,1215,37,0,583,2916,29,278,218,233,9024
SESTAO,PERCENTAGE,21048,100,32,,,,,,,,,,,,
SONDIKA,VOTES,3587,100,1172,0,626,137,0,0,116,219,10,21,51,62,1173
SONDIKA,PERCENTAGE,3587,100,49,,,,,,,,,,,,
SOPELA,VOTES,11362,100,2565,0,2244,589,0,0,274,629,72,72,156,104,4657
SOPELA,PERCENTAGE,11362,100,38,,,,,,,,,,,,
SOPUERTA,VOTES,2160,100,504,4,445,87,72,0,25,102,5,11,53,92,760
SOPUERTA,PERCENTAGE,2160,100,38,,,,,,,,,,,,
SUKARRIETA,VOTES,311,100,138,0,63,8,0,0,10,8,0,3,13,6,62
SUKARRIETA,PERCENTAGE,311,100,56,,,,,,,,,,,,
TURTZIOZ,VOTES,444,100,239,0,68,4,9,0,4,20,0,9,3,10,78
TURTZIOZ,PERCENTAGE,444,100,67,,,,,,,,,,,,
UBIDE,VOTES,131,100,18,0,60,7,0,0,0,4,0,0,2,0,40
UBIDE,PERCENTAGE,131,100,19,,,,,,,,,,,,
UGAO,VOTES,3218,100,1054,0,713,94,0,6,38,151,6,0,39,26,1091
UGAO,PERCENTAGE,3218,100,50,,,,,,,,,,,,
URDULIZ,VOTES,4300,100,1099,0,887,245,0,0,100,185,10,33,59,44,1638
URDULIZ,PERCENTAGE,4300,100,41,,,,,,,,,,,,
URDUNA,VOTES,3243,100,1085,0,805,108,0,6,54,130,3,0,34,59,959
URDUNA,PERCENTAGE,3243,100,48,,,,,,,,,,,,
TRAPAGARAN,VOTES,9868,100,2017,14,1399,419,45,0,176,1627,11,108,101,106,3845
TRAPAGARAN,PERCENTAGE,9868,100,34,,,,,,,,,,,,
ZALDIBAR,VOTES,2217,100,474,0,572,71,0,3,26,189,7,0,23,21,831
ZALDIBAR,PERCENTAGE,2217,100,34,,,,,,,,,,,,
ZALLA,VOTES,6451,100,2484,29,836,204,423,0,55,393,32,52,119,156,1668
ZALLA,PERCENTAGE,6451,100,53,,,,,,,,,,,,
ZAMUDIO,VOTES,2527,100,849,0,594,54,0,0,28,115,3,8,26,55,795
